name,phone_number,email,location,services_offered
NairobiEmergencyCare,+254700123456,nairobiemergency@gmail.com,"{'latitude':-1.2921,'longitude':36.8219}",Ambulance|EmergencySurgery|TraumaCare
KenyattaRapidResponse,+254711234567,kenyattarapid@yahoo.com,"{'latitude':-1.2975,'longitude':36.8126}",EmergencyMedicine|FirstAid|CriticalCare
MombasaLifeSupport,+254722345678,mombasalife@gmail.com,"{'latitude':-4.0435,'longitude':39.6682}",Ambulance|EmergencySurgery|PediatricEmergency
KisumuMedicalEmergency,+254733456789,kisumumed@gmail.com,"{'latitude':-0.0917,'longitude':34.7680}",TraumaCare|EmergencyMedicine|FirstAid
EldoretEmergencyServices,+254744567890,eldoretemergency@yahoo.com,"{'latitude':0.5143,'longitude':35.2698}",Ambulance|CriticalCare|EmergencySurgery
NakuruRapidMedical,+254755678901,nakururapid@gmail.com,"{'latitude':-0.2802,36.0667}",EmergencyMedicine|FirstAid|Ambulance
ThikaEmergencyCare,+254766789012,thikaemergency@gmail.com,"{'latitude':-1.0388,'longitude':37.0834}",TraumaCare|EmergencySurgery|CriticalCare
MalindiMedicalResponse,+254777890123,malindiresponse@yahoo.com,"{'latitude':-3.2138,'longitude':40.1169}",Ambulance|EmergencyMedicine|FirstAid
MachakosEmergencyUnit,+254788901234,machakosemergency@gmail.com,"{'latitude':-1.5177,'longitude':37.2634}",EmergencySurgery|CriticalCare|TraumaCare
NyeriHealthEmergency,+254799012345,nyerihealth@gmail.com,"{'latitude':-0.4246,'longitude':36.9479}",FirstAid|EmergencyMedicine|Ambulance
GarissaMedicalEmergency,+254710123456,garissamedical@yahoo.com,"{'latitude':-0.4536,'longitude':39.6401}",Ambulance|EmergencySurgery|CriticalCare
KakamegaEmergencyCare,+254721234567,kakamegacare@gmail.com,"{'latitude':0.2827,'longitude':34.7519}",EmergencyMedicine|TraumaCare|FirstAid
KilifiMedicalResponse,+254732345678,kilifiresponse@gmail.com,"{'latitude':-3.6305,'longitude':39.8499}",CriticalCare|EmergencySurgery|Ambulance
KitaleEmergencyServices,+254743456789,kitaleemergency@yahoo.com,"{'latitude':1.0187,'longitude':35.0062}",FirstAid|EmergencyMedicine|TraumaCare
LamuHealthEmergency,+254754567890,lamuhealth@gmail.com,"{'latitude':-2.2719,'longitude':40.9022}",Ambulance|CriticalCare|EmergencySurgery
VoiEmergencyCare,+254765678901,voiemergency@gmail.com,"{'latitude':-3.3945,'longitude':38.5695}",EmergencyMedicine|FirstAid|TraumaCare
NaivashaMedicalResponse,+254776789012,naivasharesponse@yahoo.com,"{'latitude':-0.7134,'longitude':36.4316}",EmergencySurgery|CriticalCare|Ambulance
EmbuEmergencyUnit,+254787890123,embuemergency@gmail.com,"{'latitude':-0.5399,'longitude':37.4506}",TraumaCare|EmergencyMedicine|FirstAid
MeruHealthEmergency,+254798901234,meruhealth@gmail.com,"{'latitude':0.0500,'longitude':37.6500}",Ambulance|EmergencySurgery|CriticalCare
KerichoMedicalEmergency,+254709123456,kerichomedical@yahoo.com,"{'latitude':-0.3684,'longitude':35.2863}",EmergencyMedicine|FirstAid|TraumaCare
KisiiEmergencyCare,+254720234567,kisiicare@gmail.com,"{'latitude':-0.6809,'longitude':34.7720}",CriticalCare|EmergencySurgery|Ambulance
BungomaMedicalResponse,+254731345678,bungomaresponse@gmail.com,"{'latitude':0.5635,'longitude':34.5606}",FirstAid|EmergencyMedicine|TraumaCare
HomaBayEmergency,+254742456789,homabayemergency@yahoo.com,"{'latitude':-0.5277,'longitude':34.4577}",Ambulance|CriticalCare|EmergencySurgery
IsioloHealthServices,+254753567890,isiolohealth@gmail.com,"{'latitude':0.3524,'longitude':37.5822}",EmergencyMedicine|FirstAid|TraumaCare
KajiadoEmergencyCare,+254764678901,kajiadocare@gmail.com,"{'latitude':-1.8422,'longitude':36.7822}",EmergencySurgery|CriticalCare|Ambulance
KerugoyaMedicalResponse,+254775789012,kerugoyaresponse@yahoo.com,"{'latitude':-0.4989,'longitude':37.2803}",TraumaCare|EmergencyMedicine|FirstAid
KituiEmergencyUnit,+254786890123,kituiemergency@gmail.com,"{'latitude':-1.3683,'longitude':38.0106}",Ambulance|EmergencySurgery|CriticalCare
LodwarHealthEmergency,+254797901234,lodwarhealth@gmail.com,"{'latitude':3.1166,'longitude':35.5966}",EmergencyMedicine|FirstAid|TraumaCare
MaralalMedicalEmergency,+254708123456,maralalmedical@yahoo.com,"{'latitude':1.0968,'longitude':36.6987}",CriticalCare|EmergencySurgery|Ambulance
MarsabitEmergencyCare,+254719234567,marsabitcare@gmail.com,"{'latitude':2.3284,'longitude':37.9939}",FirstAid|EmergencyMedicine|TraumaCare
MwingiMedicalResponse,+254730345678,mwingiresponse@gmail.com,"{'latitude':-0.9343,'longitude':38.0597}",Ambulance|CriticalCare|EmergencySurgery
NarokEmergencyServices,+254741456789,narokemergency@yahoo.com,"{'latitude':-1.0833,'longitude':35.8667}",EmergencyMedicine|FirstAid|TraumaCare
NyahururuHealthEmergency,+254752567890,nyahuruhealth@gmail.com,"{'latitude':0.0345,'longitude':36.3638}",EmergencySurgery|CriticalCare|Ambulance
OlkalouEmergencyCare,+254763678901,olkaloucare@gmail.com,"{'latitude':0.2706,'longitude':36.3788}",TraumaCare|EmergencyMedicine|FirstAid
SiayaMedicalResponse,+254774789012,siayaresponse@yahoo.com,"{'latitude':0.0607,'longitude':34.2881}",Ambulance|EmergencySurgery|CriticalCare
TavetaEmergencyUnit,+254785890123,tavetaemergency@gmail.com,"{'latitude':-3.3989,'longitude':37.6833}",EmergencyMedicine|FirstAid|TraumaCare
WajirHealthEmergency,+254796901234,wajirhealth@gmail.com,"{'latitude':1.7471,'longitude':40.0573}",CriticalCare|EmergencySurgery|Ambulance
WebuyeMedicalEmergency,+254707123456,webuyemedical@yahoo.com,"{'latitude':0.6029,'longitude':34.7714}",FirstAid|EmergencyMedicine|TraumaCare
BometEmergencyCare,+254718234567,bometcare@gmail.com,"{'latitude':-0.7833,'longitude':35.3333}",Ambulance|CriticalCare|EmergencySurgery
BusiaMedicalResponse,+254729345678,busiaresponse@gmail.com,"{'latitude':0.4608,'longitude':34.1117}",EmergencyMedicine|FirstAid|TraumaCare
ChukaEmergencyServices,+254740456789,chukaemergency@yahoo.com,"{'latitude':-0.3333,'longitude':37.6500}",EmergencySurgery|CriticalCare|Ambulance
GilgilHealthEmergency,+254751567890,gilgilhealth@gmail.com,"{'latitude':-0.4929,'longitude':36.3233}",TraumaCare|EmergencyMedicine|FirstAid
ItenEmergencyCare,+254762678901,itencare@gmail.com,"{'latitude':0.6708,'longitude':35.5081}",Ambulance|EmergencySurgery|CriticalCare
KapenguriaMedicalResponse,+254773789012,kapenguriaresponse@yahoo.com,"{'latitude':1.2389,'longitude':35.1119}",EmergencyMedicine|FirstAid|TraumaCare
KaruriEmergencyUnit,+254784890123,karuriemergency@gmail.com,"{'latitude':-1.1233,'longitude':36.7062}",CriticalCare|EmergencySurgery|Ambulance
KiambuHealthEmergency,+254795901234,kiambuhealth@gmail.com,"{'latitude':-1.1714,'longitude':36.8356}",FirstAid|EmergencyMedicine|TraumaCare
KikuyuMedicalEmergency,+254706123456,kikuyumedical@yahoo.com,"{'latitude':-1.2456,'longitude':36.6628}",Ambulance|CriticalCare|EmergencySurgery
KilgorisEmergencyCare,+254717234567,kilgoriscare@gmail.com,"{'latitude':-1.0027,'longitude':34.8787}",EmergencyMedicine|FirstAid|TraumaCare
LimuruMedicalResponse,+254728345678,limururesponse@gmail.com,"{'latitude':-1.1133,'longitude':36.6422}",EmergencySurgery|CriticalCare|Ambulance
LiteinEmergencyServices,+254739456789,liteinemergency@yahoo.com,"{'latitude':-0.5833,'longitude':35.1833}",TraumaCare|EmergencyMedicine|FirstAid
LondianiHealthEmergency,+254750567890,londianihealth@gmail.com,"{'latitude':-0.1697,'longitude':35.5983}",Ambulance|EmergencySurgery|CriticalCare
LuandaEmergencyCare,+254761678901,luandacare@gmail.com,"{'latitude':0.3137,'longitude':34.0714}",EmergencyMedicine|FirstAid|TraumaCare
MakueniMedicalResponse,+254772789012,makueniresponse@yahoo.com,"{'latitude':-1.8047,'longitude':37.6244}",CriticalCare|EmergencySurgery|Ambulance
MalabaEmergencyUnit,+254783890123,malabaemergency@gmail.com,"{'latitude':0.6342,'longitude':34.2811}",FirstAid|EmergencyMedicine|TraumaCare
ManderaHealthEmergency,+254794901234,manderahealth@gmail.com,"{'latitude':3.9366,'longitude':41.8569}",Ambulance|CriticalCare|EmergencySurgery
MariakaniMedicalEmergency,+254705123456,mariakanimedical@yahoo.com,"{'latitude':-3.8633,'longitude':39.4747}",EmergencyMedicine|FirstAid|TraumaCare
MatuuEmergencyCare,+254716234567,matuucare@gmail.com,"{'latitude':-1.1569,'longitude':37.5347}",EmergencySurgery|CriticalCare|Ambulance
MoloMedicalResponse,+254727345678,moloresponse@gmail.com,"{'latitude':-0.2486,'longitude':35.7319}",TraumaCare|EmergencyMedicine|FirstAid
MuhoroniEmergencyServices,+254738456789,muhoroniemergency@yahoo.com,"{'latitude':-0.1569,'longitude':35.1964}",Ambulance|EmergencySurgery|CriticalCare
