name,email,phone_number,operation_hours,location,services_offered,how_to_schedule_appointment,web3_wallet_address,booking_fee
Nairobi Hospital,info@nairobihospital.org,+254-20-2845000,24/7,"{'latitude': -1.2921, 'longitude': 36.8219}","['Emergency Care', 'Surgery', 'Maternity', 'Oncology', 'Cardiology']",Online booking through website or call center,0x1234567890abcdef1234567890abcdef12345678,20
Aga Khan University Hospital,akuh.nairobi@aku.edu,+254-20-3662000,24/7,"{'latitude': -1.2632, 'longitude': 36.8372}","['Pediatrics', 'Neurology', 'Orthopedics', 'Dental', 'ICU']",Via mobile app or telephone,0x2345678901abcdef2345678901abcdef23456789,25
Kenyatta National Hospital,info@knh.or.ke,+254-20-2726300,24/7,"{'latitude': -1.3019, 'longitude': 36.8065}","['General Medicine', 'Surgery', 'Cancer Treatment', 'Dialysis']",Walk-in or telephone booking,0x3456789012abcdef3456789012abcdef34567890,15
Nairobi Central Medical Clinic,info@nairobihealthmed.co.ke,+254712345001,Mon-Sat 8:00 AM - 6:00 PM,"{'latitude': -1.2833, 'longitude': 36.8167}","['General Consultation', 'Vaccinations', 'Lab Tests']",Call or book via the clinic website,0x91aF2b9e31B8dF8c51A45e9DcF0139C0b2cBcaD1,30
Mombasa Coastline Hospital,care@coastlinehospital.co.ke,+254712345002,24/7,"{'latitude': -4.0435, 'longitude': 39.6682}","['Emergency Care', 'Surgery', 'Pharmacy']",Online portal registration required,0x12bC0ADc23A4e9216d657E9b64B74a903b958001,20
Eldoret Family Care Centre,contact@eldoretfamily.co.ke,+254712345003,Mon-Fri 9:00 AM - 8:00 PM,"{'latitude': 0.5143, 'longitude': 35.2698}","['Family Medicine', 'Pediatrics', 'Dental Care']",Call reception directly,0x8aEFA23b491Bc52F903d2C3F7AcA7B6d5bA4B009,30
Kisumu Lakeview Hospital,info@lakeviewmedic.co.ke,+254712345004,Mon-Sun 7:00 AM - 7:00 PM,"{'latitude': -0.0917, 'longitude': 34.7679}","['Outpatient', 'Dental Care', 'Lab Tests']",Submit appointment form on website,0x44aDd23917cB39E4Cc4262EEB450Ab74Feb0A2B3,20
Nakuru Ridge Medical Centre,support@nakururgemed.co.ke,+254712345005,Mon-Sat 8:30 AM - 5:30 PM,"{'latitude': -0.3031, 'longitude': 36.08}","['Maternity', 'General Consultation', 'Physiotherapy']",Phone booking only,0xBcA16d119AfE3c50a80291A2b07dE4Fb419fAA06,15
Thika Wellness Hospital,booking@thikawellness.co.ke,+254712345006,Mon-Sun 6:00 AM - 10:00 PM,"{'latitude': -1.0333, 'longitude': 37.0667}","['Lab Tests', 'Radiology', 'Nutrition Counseling']",Book via SMS or USSD *789#,0xfA1B1C2aD2E5C0F4A7dDd25c50Bb34770fA1AfF9,10
Machakos County Referral Hospital,reception@machakosreferral.co.ke,+254712345007,24/7,"{'latitude': -1.5167, 'longitude': 37.2667}","['Surgery', 'Emergency Care', 'Radiology']",Through county eHealth portal,0x7cE40Bc8309a63C2e3dE1d8a3F051EdKb94bC342,20
